2025-04-09 02:26:25 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 18ms | Status: 200
2025-04-09 02:26:49 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 7ms | Status: 200
2025-04-09 02:26:49 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 22ms | Status: 200
2025-04-09 02:26:49 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 5ms | Status: 200
2025-04-09 02:28:09 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 7ms | Status: 200
2025-04-09 02:28:09 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 02:28:09 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 4ms | Status: 200
2025-04-09 02:48:34 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-09 02:48:50 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 135ms | Status: 200
2025-04-09 02:48:50 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 25ms | Status: 200
2025-04-09 02:48:50 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 12ms | Status: 200
2025-04-09 02:49:11 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 48ms | Status: 201
2025-04-09 02:51:25 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 10ms | Status: 200
2025-04-09 02:51:25 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 02:51:25 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 4ms | Status: 200
2025-04-09 02:56:15 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 79ms | Status: 200
2025-04-09 02:56:15 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 02:56:15 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 02:56:34 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 33ms | Status: 201
2025-04-09 02:56:34 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 5ms | Status: 401
2025-04-09 03:00:37 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 76ms | Status: 200
2025-04-09 03:00:37 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 03:00:37 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 11ms | Status: 200
2025-04-09 03:00:49 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 34ms | Status: 201
2025-04-09 03:00:49 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 12ms | Status: 200
2025-04-09 03:05:51 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 76ms | Status: 200
2025-04-09 03:05:51 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 03:05:51 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 10ms | Status: 200
2025-04-09 03:06:02 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 31ms | Status: 201
2025-04-09 03:06:02 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 19ms | Status: 200
2025-04-09 03:10:19 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 76ms | Status: 200
2025-04-09 03:10:19 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 03:10:19 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 03:10:31 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 33ms | Status: 201
2025-04-09 03:10:31 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 03:11:17 | PUT /book/3 | Controller: Project.Controllers.BookController.Put (Project) | User: Anonymous | Duration: 7ms | Status: 401
2025-04-09 03:26:13 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 7ms | Status: 200
2025-04-09 03:26:13 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 03:26:13 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 03:26:23 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 7ms | Status: 201
2025-04-09 03:26:23 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 03:26:26 | DELETE /book/8 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 14ms | Status: 200
2025-04-09 03:26:26 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 03:26:28 | DELETE /book/7 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 7ms | Status: 200
2025-04-09 03:26:28 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 03:26:29 | DELETE /book/4 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 03:26:29 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 03:26:56 | PUT /book/3 | Controller: Project.Controllers.BookController.Put (Project) | User: Anonymous | Duration: 9ms | Status: 204
2025-04-09 03:26:56 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 03:37:25 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 74ms | Status: 200
2025-04-09 03:38:39 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 89ms | Status: 200
2025-04-09 03:41:33 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 97ms | Status: 200
2025-04-09 03:41:33 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 19ms | Status: 200
2025-04-09 03:41:33 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 12ms | Status: 200
2025-04-09 03:41:53 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 46ms | Status: 201
2025-04-09 03:41:53 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 10ms | Status: 200
2025-04-09 03:45:48 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 77ms | Status: 200
2025-04-09 03:45:48 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 03:45:48 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 14ms | Status: 200
2025-04-09 03:54:36 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 73ms | Status: 200
2025-04-09 03:54:36 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 17ms | Status: 200
2025-04-09 03:54:36 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 14ms | Status: 200
2025-04-09 03:54:41 | DELETE /book/6 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 18ms | Status: 403
2025-04-09 03:54:47 | DELETE /book/6 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 10ms | Status: 403
2025-04-09 03:55:00 | PUT /book/6 | Controller: Project.Controllers.BookController.Put (Project) | User: Anonymous | Duration: 19ms | Status: 403
2025-04-09 03:55:50 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 116ms | Status: 200
2025-04-09 03:56:22 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 85ms | Status: 200
2025-04-09 03:56:22 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 17ms | Status: 200
2025-04-09 03:56:22 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 03:57:22 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 8ms | Status: 200
2025-04-09 03:57:22 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 10ms | Status: 200
2025-04-09 03:57:22 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 06:50:43 | GET / | Controller: Unknown | User: Anonymous | Duration: 1ms | Status: 404
2025-04-09 06:50:56 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 70ms | Status: 200
2025-04-09 06:50:56 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 16ms | Status: 200
2025-04-09 06:50:56 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 12ms | Status: 200
2025-04-09 06:51:08 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 25ms | Status: 201
2025-04-09 06:51:08 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 7ms | Status: 200
2025-04-09 06:57:33 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 75ms | Status: 401
2025-04-09 06:57:36 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 35ms | Status: 200
2025-04-09 06:57:37 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 16ms | Status: 200
2025-04-09 06:57:37 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 14:59:01 | GET / | Controller: Unknown | User: Anonymous | Duration: 1ms | Status: 404
2025-04-09 14:59:14 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 85ms | Status: 200
2025-04-09 14:59:15 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 14ms | Status: 200
2025-04-09 14:59:15 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 14:59:18 | DELETE /book/7 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 14:59:18 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 14:59:20 | DELETE /book/6 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 14ms | Status: 403
2025-04-09 14:59:45 | PUT /book/3 | Controller: Project.Controllers.BookController.Put (Project) | User: Anonymous | Duration: 14ms | Status: 204
2025-04-09 14:59:45 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 15:00:21 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 11ms | Status: 200
2025-04-09 15:00:21 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 16ms | Status: 200
2025-04-09 15:00:21 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 7ms | Status: 200
2025-04-09 15:00:29 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 28ms | Status: 201
2025-04-09 15:00:29 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 15:00:33 | DELETE /book/7 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 15:00:33 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 5ms | Status: 200
2025-04-09 15:00:35 | DELETE /book/6 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 10ms | Status: 403
2025-04-09 15:00:40 | DELETE /book/3 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 9ms | Status: 200
2025-04-09 15:00:40 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 8ms | Status: 200
2025-04-09 15:00:43 | DELETE /book/3 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 15:00:43 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 5ms | Status: 200
2025-04-09 15:00:45 | DELETE /book/6 | Controller: Project.Controllers.BookController.Delete (Project) | User: Anonymous | Duration: 9ms | Status: 403
2025-04-09 15:01:15 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 15:01:15 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 8ms | Status: 200
2025-04-09 15:01:15 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 6ms | Status: 200
2025-04-09 15:01:22 | POST /book | Controller: Project.Controllers.BookController.Post (Project) | User: Anonymous | Duration: 10ms | Status: 201
2025-04-09 15:01:22 | GET /book | Controller: Project.Controllers.BookController.Get (Project) | User: Anonymous | Duration: 15ms | Status: 200
